天体名称,距离模数,退行速度
UGC02868,34.65,5495
IC2000,31.41,827
UGC02890,30.5,1314
UGC02905,28.82,302
NGC1495,30.9,1128
UGC02896,32.96,2388
UGC02906,34.1,2646
PGC014370,34.35,4660
ESO359-016,32.02,1271
ESO550-005,31.71,1788
NGC1527,31.26,1015
PGC014600,32.5,2862
PGC014626,32.96,1781
UGC02988,33.71,3840
PGC014768,32.19,1853
PGC014780,35.24,8822
NGC1556,31.13,817
UGC03009,33.15,3777
NGC1558,33.91,4372
ESO550-024,30.26,786
UGC03028,33.64,5527
UGC03066,34.07,4595
UGC03078,34.05,5462
UGC03084,33.33,4032
UGC03089,33.82,4592
ESO202-041,30.35,1483
UGC03108,33.53,4029
ESO157-049,31.87,1489
UGC03114,33.73,3855
PGC015869,33.16,2429
UGC03148,34.21,4698
UGC03151,33.91,4580
UGC03143,34.19,4694
UGC03144,31.47,1784
NGC1688,30.3,1042
ESO421-019,31.25,1328
UGC03167,34.22,4857
NGC1679,30.05,899
UGC03186,34.11,4513
ESO361-015,31.09,1012
PGC016322,33.49,3754
NGC1699,33.54,3844
IC0396,30.67,1015
NGC1723,32.5,3629
ESO486-003,32.81,1624
ESO552-052,34.05,4453
UGC03237,33.63,4116
NGC1784,32.22,2199
NGC1824,30.36,1055
NGC1797,34.38,4356
PGC016772,32.44,2244
UGC03250,34.87,4644
ESO553-017,32.9,1828
PGC016875,32.42,2556
PGC016894,32.19,1851
NGC1853,32.26,1217
ESO305-017,32,891
ESO423-002,31.54,1304
UGC03253,33.99,4285
NGC1879,31.42,1071
ESO362-019,31.18,1108
UGC03276,32.53,2648
UGC03257,31,2346
NGC1888,32.98,2290
PGC017217,33.04,2359
UGC03303,29.27,440
NGC1924,32.42,2430
IC2135,30.84,1141
UGC03319,34.22,4344
UGC03329,34.1,5206
ESO554-018,33.36,2711
UGC03332,34.32,5767
ESO120-012,30.53,1150
ESO363-015,30.82,1081
ESO487-035,31.09,1563
NGC2049,34.15,2813
PGC017716,29.05,286
UGC03351,33.44,4500
PGC017787,36.64,14796
UGC03354,33.26,3171
ESO555-002,33,2210
UGC03365,34.73,5266
IC0438,32.9,2966
PGC018109,34.27,5854
UGC03379,33.66,4233
IC2152,32.15,1701
UGC03373,33.91,4905
ESO425-002,32.34,1208
PGC018373,32.86,2066
PGC018467,34.04,4386
ESO425-011,33.82,3024
